Fecha,Hora,Competicion,Local,Goles_local,Visitante,Goles_visitante,Estadio,Ciudad,En_casa,Total_goles_partido
SAB 08.11.2025,14:00,LALIGA HYPERMOTION,Real Sociedad B,2,CD Leganés,1,"('Estadio Zubieta', 2500)",San Sebastián,True,3
MIE 05.11.2025,20:00,LALIGA HYPERMOTION,Real Sociedad B,2,SD Huesca,0,"('Estadio Zubieta', 2500)",San Sebastián,True,2
VIE 31.10.2025,20:30,LALIGA HYPERMOTION,Racing de Santander,1,Real Sociedad B,0,"('El Sardinero', 21514)",Santander,False,1
SAB 25.10.2025,18:30,LALIGA HYPERMOTION,Burgos CF,1,Real Sociedad B,0,"('El Plantío', 12194)",Burgos,False,1
SAB 11.10.2025,18:30,LALIGA HYPERMOTION,Real Sociedad B,3,FC Andorra,0,"('Estadio Zubieta', 2500)",San Sebastián,True,3
SAB 04.10.2025,21:00,LALIGA HYPERMOTION,Granada CF,5,Real Sociedad B,2,"('Nuevo Los Cármenes', 19336)",Granada,False,7
DOM 28.09.2025,14:00,LALIGA HYPERMOTION,Real Sociedad B,1,Córdoba CF,1,"('Estadio Zubieta', 2500)",San Sebastián,True,2
DOM 21.09.2025,18:30,LALIGA HYPERMOTION,SD Eibar,2,Real Sociedad B,1,"('Ipurúa', 8164)",Éibar,False,3
VIE 12.09.2025,20:30,LALIGA HYPERMOTION,UD Las Palmas,2,Real Sociedad B,1,"('Estadio de Gran Canaria', 32400)",Las Palmas de Gran Canaria,False,3
DOM 07.09.2025,16:15,LALIGA HYPERMOTION,Real Sociedad B,3,Cádiz CF,3,"('Estadio Zubieta', 2500)",San Sebastián,True,6
VIE 29.08.2025,19:30,LALIGA HYPERMOTION,Real Sociedad B,2,UD Almería,2,"('Estadio Zubieta', 2500)",San Sebastián,True,4
DOM 24.08.2025,21:30,LALIGA HYPERMOTION,Málaga CF,1,Real Sociedad B,0,"('La Rosaleda', 30044)",Málaga,False,1
DOM 17.08.2025,17:00,LALIGA HYPERMOTION,Real Sociedad B,1,Real Zaragoza,0,"('Estadio Zubieta', 2500)",San Sebastián,True,1
DOM 25.01.2026,21:00,LALIGA HYPERMOTION,RC Deportivo,0,Racing de Santander,1,"('Abanca-Riazor', 32490)",La Coruña,True,1
SAB 17.01.2026,21:00,LALIGA HYPERMOTION,UD Almería,1,RC Deportivo,2,"('UD Almería Stadium', 18331)",Almería,False,3
SAB 10.01.2026,18:30,LALIGA HYPERMOTION,UD Las Palmas,1,RC Deportivo,1,"('Estadio de Gran Canaria', 32400)",Las Palmas de Gran Canaria,False,2
DOM 04.01.2026,21:00,LALIGA HYPERMOTION,RC Deportivo,2,Cádiz CF,2,"('Abanca-Riazor', 32490)",La Coruña,True,4
SAB 20.12.2025,14:00,LALIGA HYPERMOTION,FC Andorra,1,RC Deportivo,0,"(""Nou Estadi d'Encamp"", 5600)",Andorra la Vieja,False,1
SAB 13.12.2025,21:00,LALIGA HYPERMOTION,RC Deportivo,0,Real Sociedad B,3,"('Abanca-Riazor', 32490)",La Coruña,True,3
DOM 07.12.2025,18:30,LALIGA HYPERMOTION,RC Deportivo,1,CD Castellón,3,"('Abanca-Riazor', 32490)",La Coruña,True,4
SAB 29.11.2025,18:30,LALIGA HYPERMOTION,Albacete BP,0,RC Deportivo,2,"('Carlos Belmonte', 18000)",Albacete,False,2
